step,train_loss,val_loss,lr,grad_norm,elapsed_s,tokens
121,4.740429,,0.00244000,0.534915,210.7,499712
122,4.803851,,0.00246000,0.518156,211.9,503808
123,4.698175,,0.00248000,0.646708,213.4,507904
124,4.744992,,0.00250000,0.717204,215.0,512000
125,4.620432,,0.00252000,0.550643,216.4,516096
126,4.759713,,0.00254000,0.613939,217.8,520192
127,4.608362,,0.00256000,0.585141,219.2,524288
128,4.695662,,0.00258000,0.516173,220.9,528384
129,4.670821,,0.00260000,0.523703,222.3,532480
130,4.659542,,0.00262000,0.437647,223.9,536576
131,4.640281,,0.00264000,0.413200,225.3,540672
132,4.664738,,0.00266000,0.530024,226.9,544768
133,4.618232,,0.00268000,0.511454,228.1,548864
134,4.697311,,0.00270000,0.509998,229.5,552960
135,4.693439,,0.00272000,0.492434,231.1,557056
136,4.567974,,0.00274000,0.453843,232.6,561152
137,4.674198,,0.00276000,0.604889,234.0,565248
138,4.641129,,0.00278000,0.530177,235.6,569344
139,4.666065,,0.00280000,0.502844,236.9,573440
140,4.739178,,0.00282000,0.513205,238.2,577536
141,4.632473,,0.00284000,0.508269,239.5,581632
142,4.490316,,0.00286000,0.517143,240.9,585728
143,4.573978,,0.00288000,0.749455,242.6,589824
144,4.606091,,0.00290000,0.500198,243.9,593920
145,4.599390,,0.00292000,0.500225,245.1,598016
146,4.563944,,0.00294000,0.764743,246.7,602112
147,4.572817,,0.00296000,0.456530,248.2,606208
148,4.620709,,0.00298000,0.656097,249.7,610304
149,4.492392,,0.00300000,0.546359,251.0,614400
150,4.521729,4.541461,0.00300000,0.579368,260.7,618496
151,4.580077,,0.00300000,0.519137,262.1,622592
152,4.476759,,0.00300000,0.475990,263.8,626688
153,4.457311,,0.00299999,0.490785,265.2,630784
154,4.542971,,0.00299998,0.467064,266.6,634880
155,4.516697,,0.00299997,0.485946,267.9,638976
156,4.521176,,0.00299996,0.509090,269.5,643072
157,4.460494,,0.00299994,0.453834,271.2,647168
158,4.415878,,0.00299992,0.470362,272.5,651264
159,4.391262,,0.00299990,0.513506,274.2,655360
160,4.487240,,0.00299988,0.456238,275.6,659456
161,4.374069,,0.00299985,0.492122,277.0,663552
162,4.461509,,0.00299983,0.495386,278.4,667648
163,4.372458,,0.00299980,0.490216,279.8,671744
164,4.374207,,0.00299976,0.572697,282.4,675840
